ticker,fiscal_year,revenue,ebitda,ebit,net_income,total_assets,total_equity,total_debt,cash_and_equiv,current_assets,current_liabilities,capex,operating_cash_flow,shares_outstanding
KOTM,2022,3003.0,841.7,751.3,547.0,9273.5,3908.0,4915.0,258.4,1164.1,883.5,173.2,627.8,223.87434728753706
KOTM,2023,3339.4,1144.4,1027.6,708.7,9727.6,4375.8,4850.9,520.3,1626.1,821.5,285.7,922.0,223.87434728753706
KOTM,2024,3975.5,1273.4,1072.2,679.4,12772.3,5125.2,7050.8,222.1,1412.4,1114.1,320.1,1078.3,223.87434728753706
KOTM,2025,4446.7,1371.7,1107.1,823.7,14705.6,5942.5,8096.1,493.3,1925.3,1172.8,190.4,1119.5,223.87434728753706
SBIN2,2021,44987.5,15297.1,13422.4,8046.3,125509.8,58734.9,60026.8,7829.0,21199.7,11543.0,3310.4,11542.1,249.19284089773728
SBIN2,2022,51161.4,13569.0,11543.7,7550.3,156979.2,67568.7,81736.4,8225.9,23553.7,15847.2,4289.0,9510.1,249.19284089773728
SBIN2,2023,57150.4,14721.4,12708.5,8566.3,167635.3,77131.7,81931.0,3870.7,20168.9,15778.9,3971.7,10276.4,249.19284089773728
SBIN2,2024,65401.3,21999.3,17648.7,11521.0,200859.5,88846.1,102203.2,8559.2,34170.4,24324.3,3097.0,18295.7,249.19284089773728
SBIN2,2025,75165.1,20914.1,17125.9,12776.1,220890.7,98978.1,110637.8,9947.5,29917.9,17448.7,3491.0,13218.0,249.19284089773728
SUNP,2021,6936.2,1552.4,1274.6,871.2,10673.7,7371.0,2262.3,383.7,2662.0,1835.1,338.8,965.8,163.8099387527715
SUNP,2022,7525.5,1487.4,1161.6,723.5,12447.5,8221.9,3096.8,414.7,3837.1,2411.6,331.8,1217.3,163.8099387527715
SUNP,2023,8562.3,1487.0,1177.0,837.1,13602.0,9432.8,2884.8,661.1,3631.2,2547.5,607.2,1029.3,163.8099387527715
SUNP,2024,9483.0,2037.4,1539.3,924.3,16570.7,10779.2,4369.1,1104.9,4328.3,2248.9,591.5,1493.7,163.8099387527715
SUNP,2025,10364.9,1929.5,1556.3,862.2,16968.0,11769.4,3643.8,959.5,3876.0,3757.1,722.2,1485.3,163.8099387527715
CIPL,2021,22831.1,4902.4,3994.3,2298.8,42015.6,28997.6,9593.3,3058.7,10597.2,6323.7,2039.4,3683.9,30.860869140981684
CIPL,2022,24946.6,4393.3,3395.7,2034.7,44301.2,31053.2,9506.0,2171.9,9596.3,9067.7,1097.9,3212.0,30.860869140981684
CIPL,2023,27543.2,6305.8,4835.3,3044.2,55301.6,36519.5,14650.6,4302.8,11060.8,6812.6,2022.6,5248.6,30.860869140981684
CIPL,2024,30676.1,6267.0,4963.5,3493.8,56598.2,39233.5,12763.3,3230.4,13851.0,7938.5,1403.2,4716.9,30.860869140981684
CIPL,2025,33622.6,6888.4,5325.8,3441.7,61568.8,43911.6,12613.8,3152.4,12671.8,7737.9,3009.2,4688.2,30.860869140981684
DRRD,2021,12055.1,2390.5,1940.5,1202.7,27036.8,18068.3,7160.2,2115.1,4519.0,4061.8,1047.8,1542.6,173.56065333374303
DRRD,2022,13036.3,2795.9,2337.8,1679.4,28808.3,19300.0,7552.8,993.5,4989.4,3210.6,1052.4,2142.5,173.56065333374303
DRRD,2023,14490.1,2775.3,2446.6,1537.7,32107.1,22313.9,7619.7,1434.6,6412.4,3886.5,1121.3,2014.0,173.56065333374303
DRRD,2024,15827.9,3545.0,2862.9,1885.8,38007.2,26059.1,9573.9,1031.9,8514.9,5071.8,898.2,2250.5,173.56065333374303
DRRD,2025,17876.1,3704.0,3074.4,2240.6,41762.1,30033.5,9047.1,1618.2,7145.1,6060.6,745.0,2750.1,173.56065333374303
LUPN,2021,39553.0,8732.8,6716.6,4227.8,83737.8,59804.4,18000.4,3156.4,19557.0,13258.4,2850.1,6754.7,92.0996196918178
LUPN,2022,44015.4,8147.6,6533.2,3830.5,101725.4,69857.4,25265.7,4494.4,19472.5,16354.6,2098.1,6082.7,92.0996196918178
LUPN,2023,48874.2,10101.7,7603.7,5508.3,118527.8,81815.3,29381.4,6870.0,26123.3,16282.8,2327.7,7516.4,92.0996196918178
LUPN,2024,54594.6,10670.4,9181.5,6765.6,136793.2,95750.4,32853.6,3533.4,29861.5,19338.7,2524.1,8858.7,92.0996196918178
LUPN,2025,61932.8,12456.6,10447.2,6579.7,143600.9,101219.5,33091.5,9560.6,21733.9,16930.0,3710.3,9147.5,92.0996196918178
AURO,2021,16108.5,2955.5,2417.2,1397.6,32014.3,21928.2,7669.9,1682.7,8585.3,4477.9,1112.0,2240.5,93.26876845509464
AURO,2022,17362.8,3642.9,2829.5,2100.1,33979.5,23448.4,7926.7,1060.8,9538.7,5214.9,1211.4,2246.8,93.26876845509464
AURO,2023,19559.1,3571.4,3159.6,1867.4,35321.5,25202.1,7185.5,2178.3,9055.2,4508.6,1540.8,2547.5,93.26876845509464
AURO,2024,21742.1,4271.1,3460.1,2290.3,38470.9,26970.8,8238.8,3522.9,11723.8,6081.9,1164.0,3250.3,93.26876845509464
AURO,2025,24002.8,4117.0,3184.2,2207.3,42922.6,30629.6,8692.5,1892.8,9510.3,7861.0,983.8,2577.4,93.26876845509464
HULV,2021,8691.7,1444.0,1239.4,893.8,14018.9,10256.5,2458.7,1189.5,3398.4,2319.8,737.2,871.1,166.65906588444992
HULV,2022,9344.7,1534.6,1157.1,678.4,15744.3,11546.7,2795.9,1551.7,4798.4,2566.9,495.0,1066.5,166.65906588444992
HULV,2023,10329.8,1730.0,1459.5,922.2,17657.6,12952.7,3155.4,911.9,5574.9,3534.6,485.6,1413.6,166.65906588444992
HULV,2024,11355.0,2285.8,1988.6,1262.9,18435.5,13638.2,3094.1,1367.3,5412.9,2966.6,533.3,1848.6,166.65906588444992
HULV,2025,12820.5,2325.5,1804.0,1090.4,20458.6,14352.7,4182.8,837.3,5965.4,3382.7,868.1,1774.0,166.65906588444992
ITCL,2021,9923.8,1986.7,1668.0,1117.7,14786.6,10922.1,2376.0,1675.9,4304.5,2791.6,654.4,1215.3,12.638998878035315
ITCL,2022,10717.5,2066.9,1575.9,1056.8,16247.5,11816.5,2823.3,938.1,4513.5,3590.9,587.9,1532.8,12.638998878035315
ITCL,2023,11773.8,2223.4,1979.9,1379.1,17090.9,12737.5,2587.2,990.1,5522.1,2687.1,763.2,1665.8,12.638998878035315
ITCL,2024,12834.1,2497.9,1913.4,1081.1,20143.8,14580.2,3638.5,1790.3,5608.1,3329.5,1039.0,1998.0,12.638998878035315
ITCL,2025,14267.5,2392.6,2006.3,1248.3,22139.8,15482.8,4516.8,967.1,7705.1,4157.0,702.8,1759.7,12.638998878035315
NEST,2021,33164.3,6594.9,5193.2,3364.6,62098.4,43983.1,13140.7,5728.4,11869.0,11040.1,2860.8,4254.7,203.57467548674794
NEST,2022,36616.0,7412.4,5597.0,3859.1,67377.5,47882.4,14002.7,6453.1,19730.6,10833.7,3042.9,6012.5,203.57467548674794
NEST,2023,39880.1,7886.8,5958.8,3988.0,68655.3,51708.2,10965.1,2393.0,19511.7,10942.3,3040.4,4860.9,203.57467548674794
NEST,2024,43426.2,7909.3,6870.1,4216.5,81898.1,58500.9,16883.2,5648.1,17222.5,9723.3,3626.3,4787.6,203.57467548674794
NEST,2025,48745.1,8850.3,7884.4,5596.0,92550.7,69015.4,16223.5,7298.8,20979.2,14466.6,3479.2,7243.2,203.57467548674794
BRIT,2021,34757.7,5766.1,4420.1,2744.6,56829.1,41976.4,9639.1,2793.4,12457.8,7746.1,3106.9,4076.3,110.2640277201601
BRIT,2022,37992.2,7207.2,5641.3,4174.5,64170.8,48366.2,10105.7,3962.0,19977.2,14101.1,2407.6,5429.5,110.2640277201601
BRIT,2023,41032.4,8474.1,6650.1,4911.4,75332.6,54869.3,14308.5,4786.4,16254.3,10186.1,2093.7,5479.5,110.2640277201601
BRIT,2024,45824.0,7877.5,5976.4,4445.4,89503.6,63916.8,18713.2,8218.0,17632.1,12986.5,3570.2,6097.2,110.2640277201601
BRIT,2025,49454.8,9745.3,7637.1,4542.3,97551.5,71574.4,18558.8,6202.2,18214.1,17823.2,2635.0,6162.7,110.2640277201601
DABR,2021,43039.8,7865.4,6001.6,3791.2,82080.4,61685.1,13939.3,6199.7,19332.4,10026.9,2195.4,6062.7,216.91062814370815
DABR,2022,46249.2,9202.0,7584.9,4900.8,96094.4,69519.9,19637.2,4403.6,22458.8,14361.2,2467.5,7542.5,216.91062814370815
DABR,2023,51699.4,9748.3,8554.9,6189.2,109678.0,79397.8,22525.3,7272.6,25127.4,16491.0,4013.7,6235.5,216.91062814370815
DABR,2024,58050.8,11614.8,8762.0,6266.3,113183.4,84697.8,19778.0,8513.5,22184.2,20368.6,4737.3,8442.4,216.91062814370815
DABR,2025,62136.6,10470.0,8821.4,6582.9,126879.1,95889.5,21669.1,8228.2,28458.4,21423.2,2817.8,8274.0,216.91062814370815
MRTI,2021,43364.2,4965.1,4421.9,3040.4,85481.7,55846.8,23130.2,6160.4,15761.6,13579.4,2484.5,3749.8,92.04931984928466
MRTI,2022,47780.6,6903.8,6186.0,4601.0,95818.6,64081.6,24569.9,7099.0,16958.2,10680.9,2684.3,4985.7,92.04931984928466
MRTI,2023,55555.1,7619.3,6224.1,3763.9,116937.8,75592.4,33012.1,6037.7,21262.3,19287.1,4149.1,4992.1,92.04931984928466
MRTI,2024,61384.0,8412.0,7134.9,4314.1,132273.8,88716.1,34350.0,6519.2,33069.0,17626.8,4415.1,5883.4,92.04931984928466
MRTI,2025,68813.5,10244.6,8312.5,6058.3,144290.5,95804.0,38164.4,3719.2,33053.4,19196.5,5726.5,7358.7,92.04931984928466
TAMO,2021,9000.2,1291.1,1115.7,753.3,18249.2,12372.6,4526.6,1527.4,4260.1,3127.1,576.7,812.5,218.46956030934658
TAMO,2022,9976.9,1369.2,1115.3,658.1,20399.2,13781.9,5120.8,1253.7,4028.7,3468.1,553.9,977.3,218.46956030934658
TAMO,2023,10964.4,1242.5,1005.1,649.3,23603.4,15546.0,6412.7,1538.8,5723.7,3780.3,460.3,894.8,218.46956030934658
TAMO,2024,12135.5,1455.5,1307.1,756.1,27319.7,17331.5,8167.8,1715.0,5605.8,2688.8,683.5,1061.7,218.46956030934658
TAMO,2025,13414.4,1665.7,1257.6,711.4,28434.0,19092.4,7329.4,1660.4,6544.8,4669.5,670.8,1069.2,218.46956030934658
BAJA,2021,28930.2,3255.4,2705.9,1872.0,50214.1,30818.6,15056.0,4461.8,12089.6,10136.3,1273.1,2681.5,179.55417435685627
BAJA,2022,33096.1,4712.0,3853.7,2615.6,56380.7,34468.5,16947.7,2006.0,11983.1,8589.6,1587.9,3854.2,179.55417435685627
BAJA,2023,36949.0,5489.1,4394.2,2576.9,64286.6,39730.5,19013.7,4240.5,17036.2,12380.6,1900.0,4660.7,179.55417435685627
BAJA,2024,43595.4,5923.0,4619.5,3169.2,64013.9,42090.0,15384.6,3640.2,19292.0,15647.4,3328.9,4653.6,179.55417435685627
BAJA,2025,49425.9,6128.4,4937.4,3690.8,74748.3,44413.9,22920.5,6189.5,21634.9,16609.2,3179.7,5015.2,179.55417435685627
EIMO,2021,19440.1,2307.8,1946.5,1316.5,39767.1,26632.6,10218.5,2781.0,10338.4,4835.7,1008.5,1945.2,76.43867133641238
EIMO,2022,21640.7,3112.4,2564.1,1537.1,47860.6,30979.0,13635.5,2530.4,9129.1,6814.1,1042.6,2171.7,76.43867133641238
EIMO,2023,25523.7,3077.3,2611.1,1606.0,53142.6,35642.9,13671.1,4494.1,11249.8,6579.2,1114.7,1977.0,76.43867133641238
EIMO,2024,29139.4,3602.9,3150.1,2004.0,61121.7,38577.5,18173.3,4134.3,11172.3,7192.2,1219.0,2825.0,76.43867133641238
EIMO,2025,33619.9,4337.3,3802.2,2703.9,70913.5,43442.0,22428.6,2580.6,12519.5,8847.4,1440.8,3178.4,76.43867133641238
UVAM,2021,2539.0,215.9,178.4,99.6,5446.9,3057.2,2008.8,445.5,891.2,945.2,182.7,176.4,39.30637936240643
UVAM,2022,3329.4,301.0,247.9,169.4,5223.4,3265.6,1458.4,299.7,1634.5,840.0,245.3,253.6,39.30637936240643
UVAM,2023,4135.2,391.4,319.6,231.3,6200.1,3504.1,2075.7,657.3,2228.6,1361.8,268.2,295.3,39.30637936240643
UVAM,2024,5751.4,528.6,398.9,293.6,7207.6,3993.4,2351.4,448.8,2770.9,1627.7,417.3,331.2,39.30637936240643
UVAM,2025,7766.1,803.7,608.6,453.6,8350.8,4404.3,2781.6,1178.2,3598.8,2626.1,651.8,563.4,39.30637936240643
